,data,icms,ipva,fundeb,comp,total,participacao
75,2001-04,509995.43,47335.21,3569.48,0.0,560900.13,0.0822644
76,2001-05,611033.2,26826.07,9278.86,94.23,647232.36,0.0822644
77,2001-06,556761.45,43156.07,6680.29,40.91,606638.72,0.0822644
78,2001-07,662784.8,28451.44,7385.73,44.44,698666.4,0.0822644
79,2001-08,471304.97,27716.16,6045.08,48.25,505114.46,0.0822644
80,2001-09,558398.83,51570.2,6076.2,52.68,616097.92,0.0822644
81,2001-10,655314.31,26934.05,5939.58,62.74,688250.68,0.0822644
82,2001-11,483880.18,31690.27,6250.01,0.0,521820.45,0.0822644
83,2001-12,560785.01,28217.0,6340.23,50.81,595393.06,0.0822644
84,2002-01,549378.28,481268.37,6078.64,59.92,1036785.21,0.0883265
85,2002-02,476399.14,221875.8,5186.42,37.39,703498.75,0.0883265
86,2002-03,469278.13,233955.88,4855.79,39.87,708129.67,0.0883265
87,2002-04,589894.08,44886.68,5868.88,102.81,640752.45,0.0883265
88,2002-05,459546.43,32418.79,5729.1,56.08,497750.4,0.0883265
89,2002-06,524457.74,39693.97,5395.62,50.67,569598.0,0.0883265
90,2002-07,613065.12,32428.33,5217.64,49.31,650760.4,0.0883265
91,2002-08,470830.76,39646.36,5584.51,41.07,516102.7,0.0883265
92,2002-09,526446.19,49603.99,5533.54,0.0,581583.72,0.0883265
93,2002-10,728858.0,39125.95,5826.03,122.0,773931.98,0.0883265
94,2002-11,658921.76,27991.6,6038.21,62.47,693014.04,0.0883265
95,2002-12,553867.55,37269.05,5680.75,0.0,596817.35,0.0883265
96,2003-01,643334.46,495856.22,6028.1,124.37,1145343.16,0.10753106
97,2003-02,554495.18,274405.58,5357.41,70.87,834329.04,0.10753106
98,2003-03,548690.04,184931.04,5348.04,0.0,738969.12,0.10753106
99,2003-04,583484.28,39356.61,5479.48,189.0,628509.36,0.10753106
100,2003-05,542135.24,38547.1,5017.79,80.99,585781.12,0.10753106
101,2003-06,510412.47,50482.3,5008.23,0.0,565903.0,0.10753106
102,2003-07,611033.47,40607.01,4578.34,153.48,656372.29,0.10753106
103,2003-08,552131.51,31020.06,4922.59,77.11,588151.26,0.10753106
104,2003-09,674056.5,59105.7,4664.97,71.92,737899.09,0.10753106
105,2003-10,519851.02,41825.5,5118.67,81.6,566876.79,0.10753106
106,2003-11,603705.2,28857.96,5650.68,76.47,638290.3,0.10753106
107,2003-12,754971.03,48868.77,5821.13,93.88,809754.81,0.10753106
108,2004-01,661681.06,563717.55,6187.79,83.84,1231670.24,0.10786579
109,2004-02,583910.02,297890.57,5834.86,43.97,887679.42,0.10786579
110,2004-03,761328.32,222641.72,5590.57,99.29,989659.9,0.10786579
111,2004-04,600055.44,66477.31,6954.62,91.46,673578.82,0.10786579
112,2004-05,686655.48,40561.23,6641.59,92.21,733950.51,0.10786579
113,2004-06,755139.73,64515.08,6578.04,78.0,826310.85,0.10786579
114,2004-07,695206.15,43214.12,6856.1,97.86,745374.22,0.10786579
115,2004-08,838776.25,40074.68,7116.48,87.63,886055.04,0.10786579
116,2004-09,662993.99,68133.06,7631.54,85.69,738844.28,0.10786579
117,2004-10,761377.95,38465.31,7225.23,93.14,807161.63,0.10786579
118,2004-11,879699.43,46328.77,8461.48,91.51,934581.19,0.10786579
119,2004-12,686326.23,50739.15,3159.62,91.31,740316.31,0.10786579
120,2005-01,933422.26,696499.62,8298.85,25.04,1638245.77,0.08798291
121,2005-02,811326.27,358236.21,8373.3,120.02,1178055.8,0.08798291
122,2005-03,1017234.99,251560.4,8684.82,136.03,1277616.25,0.08798291
123,2005-04,944837.2,74667.88,8696.2,105.62,1028306.9,0.08798291
124,2005-05,1082623.14,52941.84,9410.38,127.29,1145102.65,0.08798291
125,2005-06,837322.28,76188.59,8428.85,117.95,922057.66,0.08798291
126,2005-07,939855.87,60819.52,7915.46,145.8,1008736.65,0.08798291
127,2005-08,1081215.58,59669.35,8684.72,108.21,1149677.86,0.08798291
128,2005-09,877183.22,80537.1,9121.75,108.63,966950.71,0.08798291
129,2005-10,986834.5,51589.07,10157.83,110.53,1048691.93,0.08798291
130,2005-11,1046980.67,50636.33,10242.01,139.38,1107998.39,0.08798291
131,2005-12,1027721.42,70131.34,10865.04,122.04,1108839.84,0.08798291
132,2006-01,1184142.43,805933.67,10576.09,108.55,2000760.73,0.08394067
133,2006-02,729366.73,416266.31,7428.0,89.98,1153151.02,0.08394067
134,2006-03,1090644.55,331534.53,10845.33,153.37,1433177.78,0.08394067
135,2006-04,951593.71,62783.42,9196.74,119.51,1023693.37,0.08394067
136,2006-05,1285673.51,75008.7,9182.9,128.95,1369994.06,0.08394067
137,2006-06,914496.09,100423.34,9759.58,122.69,1024801.7,0.08394067
138,2006-07,1006284.29,65236.84,9429.1,129.11,1081079.33,0.08394067
139,2006-08,1074562.4,70900.46,10030.06,150.58,1155643.51,0.08394067
140,2006-09,1057674.65,108266.91,10605.91,159.05,1176706.53,0.08394067
141,2006-10,1306884.01,73054.08,12225.33,148.6,1392312.02,0.08394067
142,2006-11,1376625.97,72680.98,10917.03,138.8,1460362.78,0.08394067
143,2006-12,1196403.33,62154.71,11210.82,141.18,1269910.05,0.08394067
144,2007-01,1067500.49,988970.67,13681.63,110.49,2070263.28,0.08769564
145,2007-02,831232.08,464485.65,8588.55,114.04,1304420.32,0.08769564
146,2007-03,836668.57,436739.07,7926.23,102.19,1281436.05,0.08769564
147,2007-04,825998.35,100329.46,8392.12,91.78,934811.71,0.08769564
148,2007-05,1029399.58,82180.43,8323.26,95.28,1119998.55,0.08769564
149,2007-06,922465.08,108129.67,9188.14,88.24,1039871.13,0.08769564
150,2007-07,1069186.57,75030.13,9469.08,102.69,1153788.48,0.08769564
151,2007-08,848292.52,91644.51,9559.74,100.11,949596.88,0.08769564
152,2007-09,1042418.7,135639.36,10690.12,107.6,1188855.78,0.08769564
153,2007-10,1214226.23,94256.96,11349.69,105.8,1319938.68,0.08769564
154,2007-11,907666.97,71305.72,11191.43,85.74,990249.86,0.08769564
155,2007-12,1049387.81,77275.28,11556.05,112.28,1138331.42,0.08769564
156,2008-01,1050548.03,1245848.06,10975.22,103.25,2307474.55,0.09078284
157,2008-02,931729.13,558507.49,9816.68,105.35,1500158.65,0.09078284
158,2008-03,862070.76,454713.94,9340.72,81.75,1326207.17,0.09078284
159,2008-04,1121636.25,102303.36,10256.89,128.23,1234324.73,0.09078284
160,2008-05,1041541.17,96425.48,10857.3,109.35,1148933.3,0.09078284
161,2008-06,1017717.27,139637.76,10947.23,69.91,1168372.17,0.09078284
162,2008-07,1202350.29,95552.84,8689.78,148.69,1306741.6,0.09078284
163,2008-08,1112855.85,91804.06,11523.88,118.18,1216301.97,0.09078284
164,2008-09,1336502.74,139040.12,11103.18,124.23,1486770.28,0.09078284
165,2008-10,1103654.02,81091.49,11567.55,111.93,1196424.99,0.09078284
166,2008-11,1100353.95,64973.16,11569.81,98.02,1176994.95,0.09078284
167,2008-12,1189287.97,106893.08,11882.4,40.01,1308103.46,0.09078284
168,2009-01,948092.59,1458434.17,10703.92,88.52,2417319.2,0.09426149
169,2009-02,1030576.25,596523.45,8266.99,99.65,1635466.33,0.09426149
170,2009-03,1266527.4,593426.77,6643.99,88.86,1866687.02,0.09426149
171,2009-04,898471.71,112414.7,7273.72,72.03,1018232.16,0.09426149
172,2009-05,1053360.22,104549.31,6846.71,58.87,1164815.11,0.09426149
173,2009-06,1235779.94,171634.78,8925.77,109.58,1416450.07,0.09426149
174,2009-07,995394.92,95770.89,7067.91,78.33,1098312.05,0.09426149
175,2009-08,1098073.81,76152.15,8050.29,83.16,1182359.42,0.09426149
176,2009-09,1263434.42,163076.47,7738.05,78.43,1434327.36,0.09426149
177,2009-10,1189667.33,113576.03,8925.37,70.84,1312239.57,0.09426149
178,2009-11,1174448.49,100978.39,6762.23,71.33,1282260.43,0.09426149
179,2009-12,1449131.74,117896.36,12844.83,148.67,1580021.59,0.09426149
180,2010-01,1249892.88,1591787.06,11241.65,74.02,2852995.61,0.09739072
181,2010-02,1183104.89,649940.78,9998.57,107.96,1843152.2,0.09739072
182,2010-03,1577531.08,626998.27,8867.41,149.08,2213545.84,0.09739072
183,2010-04,1214733.78,140962.44,9461.36,111.96,1365269.53,0.09739072
184,2010-05,1289727.82,113420.8,10693.12,234.37,1414076.11,0.09739072
